,1.734479,-15.93748,3.49,8102
,7.028652,-27.93483,3.49,33856
,11.307983,33.094306,3.49,55219
,15.032436,40.390566,3.49,73555
,18.449561,-45.968459,3.49,90422
,22.809239,-51.316864,3.49,112623
,6.830683,-32.508478,3.5,32759
,7.335383,21.98232,3.5,35550
,22.82802,66.200408,3.5,112724
,19.979285,19.492148,3.51,98337
,22.833385,24.601579,3.51,112748
,3.720806,-9.763395,3.52,17378
,9.685843,9.892308,3.52,47508
,9.947708,-54.56779,3.52,48774
Sheliak,18.834665,33.362667,3.52,92420
,18.962167,-21.106654,3.52,93085
,22.169996,6.197865,3.52,109427
,12.694171,-1.449235,3.52,
,4.476943,19.180431,3.53,20889
,8.275256,9.185545,3.53,40526
,11.550038,-31.857625,3.54,56343
,15.827002,-3.430208,3.54,77516
,17.626445,-15.398557,3.54,86263
,4.298237,-33.798348,3.55,20042
,5.782595,-14.82195,3.55,27288
,14.323396,-46.058093,3.55,69996
,18.350736,72.732843,3.55,89937
,20.145157,-66.182068,3.55,99240
,0.323799,-8.823921,3.56,1562
,2.275154,-51.512165,3.56,10602
,11.322347,-14.778541,3.56,55282
,16.872263,-38.017536,3.56,82545
,7.740793,24.397993,3.57,37740
,9.060427,47.156525,3.57,44471
,14.5305,30.371437,3.57,71053
,15.36344,-36.261376,3.57,75177
,7.30155,16.540383,3.58,35350
,20.300904,-12.544852,3.58,100064
,1.633205,48.628213,3.59,7607
,5.293442,-6.844409,3.59,24674
,5.741057,-22.448382,3.59,27072
,11.844922,1.764718,3.59,57757
,12.356031,-60.401147,3.59,60260
,1.40039,-8.183257,3.6,6537
,6.879816,33.961254,3.6,33018
,8.671554,-52.921887,3.6,42536
,9.511674,-40.466769,3.6,46651
,15.61707,-28.135079,3.6,76470
,17.518318,-60.683848,3.6,85727
,2.833063,27.260507,3.61,13209
,3.413554,9.02887,3.61,15900
,10.176467,-12.354083,3.61,49841
